AL	Aleksinac	Aleksinac
AR	Aranđelovac	Aranđelovac
AC	Aleksandrovac	Aleksandrovac
BB	Bajina Bašta	Bajina Bašta
BG	Beograd	Barajevo, Voždovac, Vračar, Grocka, Zvezdara, Zemun, Lazarevac, Mladenovac, Novi Beograd, Obrenovac, Palilula (Beograd), Rakovica, Savski Venac, Sopot, Stari Grad, Surčin, Čukarica
BO	Bor	Majdanpek, Bor
BP	Bačka Palanka	Bačka Palanka
BT	Bačka Topola	Bačka Topola
BĆ	Bogatić	Bogatić
BU	Bujanovac	Bujanovac
BČ	Bečej	Bečej
VA	Valjevo	Lajkovac, Ljig, Mionica, Osečina, Valjevo
VB	Vrnjačka Banja	Vrnjačka Banja
VL	Vlasotince	Vlasotince
VP	Velika Plana	Velika Plana
VR	Vranje	Bosilegrad, Vladičin Han, Preševo, Trgovište, Vranje, Vranjska Banja
VS	Vrbas	Vrbas
VŠ	Vršac	Bela Crkva, Plandište, Vršac
GL	Gnjilane	Vitina, Kosovska Kamenica, Novo Brdo, Gnjilane
GM	Gornji Milanovac	Gornji Milanovac
DE	Despotovac	Despotovac
ĐA	Đakovica	Dečani, Đakovica
ZA	Zaječar	Boljevac, Sokobanja, Zaječar
ZR	Zrenjanin	Žitište, Novi Bečej, Nova Crnja, Sečanj, Zrenjanin
IN	Inđija	Inđija
IC	Ivanjica	Ivanjica
JA	Jagodina	Rekovac, Jagodina
KA	Kanjiža	Kanjiža
KC	Koceljeva	Koceljeva
KV	Kraljevo	Kraljevo
KG	Kragujevac	Batočina, Knić, Lapovo, Rača, Kragujevac
KŽ	Knjaževac	Knjaževac
KI	Kikinda	Čoka, Novi Kneževac, Kikinda
KL	Kladovo	Kladovo
KM	Kosovska Mitrovica	Vučitrn, Zvečan, Zubin Potok, Leposavić, Srbica, Kosovska Mitrovica
KO	Kovin	Kovin
KŠ	Kruševac	Brus, Varvarin, Ćićevac, Kruševac
LB	Lebane	Lebane
LE	Leskovac	Bojnik, Medveđa, Crna Trava, Leskovac
LO	Loznica	Krupanj, Ljubovija, Mali Zvornik, Loznica
LU	Lučani	Lučani
NV	Nova Varoš	Nova Varoš
NG	Negotin	Negotin
NI	Niš	Doljevac, Gadžin Han, Merošina, Ražanj, Svrljig, Palilula (Niš), Pantelej, Medijana, Crveni Krst, Niška Banja
NP	Novi Pazar	Novi Pazar
NS	Novi Sad	Bač, Bački Petrovac, Beočin, Žabalj, Srbobran, Sremski Karlovci, Temerin, Titel, Novi Sad
PA	Pančevo	Alibunar, Kovačica, Opovo, Pančevo
PB	Priboj	Priboj
PE	Peć	Istok, Klina, Peć
PŽ	Požega	Požega
PZ	Prizren	Gora, Orahovac, Suva Reka, Prizren
PI	Pirot	Babušnica, Bela Palanka, Dimitrovgrad, Pirot
PK	Prokuplje	Blace, Žitorađa, Kuršumlija, Prokuplje
PN	Paraćin	Paraćin
PO	Požarevac	Veliko Gradište, Golubac, Žabari, Žagubica, Kučevo, Malo Crniće, Požarevac, Kostolac
PP	Prijepolje	Prijepolje
PR	Priština	Glogovac, Kosovo Polje, Lipljan, Obilić, Podujevo, Priština
PT	Petrovac Na Mlavi	Petrovac Na Mlavi
RA	Raška	Raška
RU	Ruma	Irig, Pećinci, Ruma
SA	Senta	Ada, Senta
SV	Svilajnac	Svilajnac
SD	Smederevo	Smederevo
SJ	Sjenica	Sjenica
SM	Sremska Mitrovica	Sremska Mitrovica
SO	Sombor	Apatin, Kula, Odžaci, Sombor
SP	Smederevska Palanka	Smederevska Palanka
ST	Stara Pazova	Stara Pazova
SU	Subotica	Mali Iđoš, Subotica
SC	Surdulica	Surdulica
TO	Topola	Topola
TS	Trstenik	Trstenik
TT	Tutin	Tutin
ĆU	Ćuprija	Ćuprija
UB	Ub	Ub
UE	Užice	Arilje, Kosjerić, Čajetina, Užice, Sevojno
UR	Uroševac	Kačanik, Uroševac, Štimlje, Štrpce
ČA	Čačak	Čačak
ŠA	Šabac	Vladimirci, Šabac
ŠI	Šid	Šid